start,end,pm10,latitude_x,longitude_x,pm2_5,latitude_y,longitude_y,no2,lat,lon
2022-01-01 23:00:00,2022-01-02 00:00:00,46.39,44.4264,26.1406,42.33,44.4264,26.1406,,44.4264,26.1406
2022-01-02 00:00:00,2022-01-02 01:00:00,46.48,44.4264,26.1406,42.36,44.4264,26.1406,30.2,44.4264,26.1406
2022-01-02 01:00:00,2022-01-02 02:00:00,33.5,44.4264,26.1406,30.73,44.4264,26.1406,18.84,44.4264,26.1406
2022-01-02 02:00:00,2022-01-02 03:00:00,19.34,44.4264,26.1406,17.39,44.4264,26.1406,16.96,44.4264,26.1406
2022-01-02 03:00:00,2022-01-02 04:00:00,14.99,44.4264,26.1406,12.92,44.4264,26.1406,14.68,44.4264,26.1406
2022-01-02 04:00:00,2022-01-02 05:00:00,16.07,44.4264,26.1406,13.79,44.4264,26.1406,17.5,44.4264,26.1406
2022-01-02 05:00:00,2022-01-02 06:00:00,18.31,44.4264,26.1406,15.59,44.4264,26.1406,29.27,44.4264,26.1406
2022-01-02 06:00:00,2022-01-02 07:00:00,20.72,44.4264,26.1406,17.65,44.4264,26.1406,29.78,44.4264,26.1406
2022-01-02 07:00:00,2022-01-02 08:00:00,22.32,44.4264,26.1406,19.13,44.4264,26.1406,29.18,44.4264,26.1406
2022-01-02 08:00:00,2022-01-02 09:00:00,17.46,44.4264,26.1406,14.33,44.4264,26.1406,19.88,44.4264,26.1406
2022-01-02 09:00:00,2022-01-02 10:00:00,12.01,44.4264,26.1406,10.13,44.4264,26.1406,17.09,44.4264,26.1406
2022-01-02 10:00:00,2022-01-02 11:00:00,15.96,44.4264,26.1406,13.99,44.4264,26.1406,11.3,44.4264,26.1406
2022-01-02 11:00:00,2022-01-02 12:00:00,17.17,44.4264,26.1406,13.53,44.4264,26.1406,13.83,44.4264,26.1406
2022-01-02 12:00:00,2022-01-02 13:00:00,18.77,44.4264,26.1406,14.09,44.4264,26.1406,18.77,44.4264,26.1406
2022-01-02 13:00:00,2022-01-02 14:00:00,19.99,44.4264,26.1406,13.09,44.4264,26.1406,19.55,44.4264,26.1406
2022-01-02 14:00:00,2022-01-02 15:00:00,19.28,44.4264,26.1406,10.73,44.4264,26.1406,24.51,44.4264,26.1406
2022-01-02 15:00:00,2022-01-02 16:00:00,21.31,44.4264,26.1406,12.68,44.4264,26.1406,27.21,44.4264,26.1406
2022-01-02 16:00:00,2022-01-02 17:00:00,21.81,44.4264,26.1406,13.04,44.4264,26.1406,27.01,44.4264,26.1406
2022-01-02 17:00:00,2022-01-02 18:00:00,19.84,44.4264,26.1406,13.6,44.4264,26.1406,25.88,44.4264,26.1406
2022-01-02 18:00:00,2022-01-02 19:00:00,18.23,44.4264,26.1406,15.16,44.4264,26.1406,21.54,44.4264,26.1406
2022-01-02 19:00:00,2022-01-02 20:00:00,18.2,44.4264,26.1406,15.52,44.4264,26.1406,19.43,44.4264,26.1406
2022-01-02 20:00:00,2022-01-02 21:00:00,22.01,44.4264,26.1406,20.15,44.4264,26.1406,28.42,44.4264,26.1406
2022-01-02 21:00:00,2022-01-02 22:00:00,22.11,44.4264,26.1406,18.26,44.4264,26.1406,34.8,44.4264,26.1406
2022-01-02 22:00:00,2022-01-02 23:00:00,21.76,44.4264,26.1406,17.34,44.4264,26.1406,14.47,44.4264,26.1406
2022-01-02 23:00:00,2022-01-03 00:00:00,19.37,44.4264,26.1406,14.88,44.4264,26.1406,10.2,44.4264,26.1406
2022-01-03 00:00:00,2022-01-03 01:00:00,12.82,44.4264,26.1406,9.13,44.4264,26.1406,,44.4264,26.1406
2022-01-03 01:00:00,2022-01-03 02:00:00,12.33,44.4264,26.1406,9.14,44.4264,26.1406,8.72,44.4264,26.1406
2022-01-03 02:00:00,2022-01-03 03:00:00,9.21,44.4264,26.1406,7.41,44.4264,26.1406,8.01,44.4264,26.1406
2022-01-03 03:00:00,2022-01-03 04:00:00,8.8,44.4264,26.1406,6.69,44.4264,26.1406,7.08,44.4264,26.1406
2022-01-03 04:00:00,2022-01-03 05:00:00,12.74,44.4264,26.1406,10.63,44.4264,26.1406,8.18,44.4264,26.1406
2022-01-03 05:00:00,2022-01-03 06:00:00,12.34,44.4264,26.1406,10.37,44.4264,26.1406,11.81,44.4264,26.1406
2022-01-03 06:00:00,2022-01-03 07:00:00,10.87,44.4264,26.1406,8.33,44.4264,26.1406,15.66,44.4264,26.1406
2022-01-03 07:00:00,2022-01-03 08:00:00,13.17,44.4264,26.1406,10.0,44.4264,26.1406,19.13,44.4264,26.1406
2022-01-03 08:00:00,2022-01-03 09:00:00,14.43,44.4264,26.1406,10.94,44.4264,26.1406,15.09,44.4264,26.1406
2022-01-03 09:00:00,2022-01-03 10:00:00,13.04,44.4264,26.1406,9.76,44.4264,26.1406,13.77,44.4264,26.1406
2022-01-03 10:00:00,2022-01-03 11:00:00,16.73,44.4264,26.1406,13.73,44.4264,26.1406,12.03,44.4264,26.1406
2022-01-03 11:00:00,2022-01-03 12:00:00,20.44,44.4264,26.1406,18.26,44.4264,26.1406,14.2,44.4264,26.1406
2022-01-03 12:00:00,2022-01-03 13:00:00,19.16,44.4264,26.1406,15.66,44.4264,26.1406,14.3,44.4264,26.1406
2022-01-03 13:00:00,2022-01-03 14:00:00,25.07,44.4264,26.1406,20.39,44.4264,26.1406,14.37,44.4264,26.1406
2022-01-03 14:00:00,2022-01-03 15:00:00,20.98,44.4264,26.1406,15.9,44.4264,26.1406,21.57,44.4264,26.1406
2022-01-03 15:00:00,2022-01-03 16:00:00,21.7,44.4264,26.1406,15.03,44.4264,26.1406,28.13,44.4264,26.1406
2022-01-03 16:00:00,2022-01-03 17:00:00,23.79,44.4264,26.1406,16.41,44.4264,26.1406,35.67,44.4264,26.1406
2022-01-03 17:00:00,2022-01-03 18:00:00,24.16,44.4264,26.1406,16.48,44.4264,26.1406,20.05,44.4264,26.1406
